23/08/2023,14:13:23,1,100 plus 350ml,2.50,1
23/08/2023,14:13:23,5,Mister Potato,4,1
23/08/2023,14:14:21,3,Sprite 350ml,2.50,2
23/08/2023,14:14:21,6,Mamee Monster,3,1
23/08/2023,14:14:21,4,Monster 350ml,3,1
23/08/2023,14:14:21,2,Coca cola 350ml,2.50,1
23/08/2023,15:07:47,1,100 plus 350ml,2.50,3
23/08/2023,15:07:47,2,Coca cola 350ml,2.50,2
23/08/2023,16:12:32,3,Sprite 350ml,2.50,5
23/08/2023,16:16:11,4,Monster 350ml,3,1
24/08/2023,17:37:11,5,Mister Potato,4,1
24/08/2023,17:37:11,1,100 plus 350ml,2.50,1
